[2026-08-05T10:23:29.545Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:23:39.546Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:23:39.572Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.643Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 103ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.659Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.666Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.677Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.689Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.700Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.713Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:25:04.722Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.796Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.807Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.811Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.815Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.842Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.860Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 2ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.864Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:10.871Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.737Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.743Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.747Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.754Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.777Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.789Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.805Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:12.810Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:14.445Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:25:14.472Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:25:27.250Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:26:01.198Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 788ms | Node: MediConsult-Institutional
[2026-08-05T10:27:45.555Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 486ms | Node: MediConsult-Institutional
[2026-08-05T10:36:20.244Z] POST /api/auth/login | Status: 403 | IP: 127.0.0.1 | Time: 497ms | Node: MediConsult-Institutional
[2026-08-05T10:36:29.431Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 421ms | Node: MediConsult-Institutional
[2026-08-05T10:36:29.720Z] GET /api/admin/dashboard-summary | Status: 200 | IP: 127.0.0.1 | Time: 149ms | Node: MediConsult-Institutional
[2026-08-05T10:36:29.765Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 30ms | Node: MediConsult-Institutional
[2026-08-05T10:36:32.793Z] GET /api/admin/doctors | Status: 200 | IP: 127.0.0.1 | Time: 51ms | Node: MediConsult-Institutional
